"lat","lon","countryCode","month","year","is_retained","h3_id"
41.479,-71.3612,"US",7,2007,TRUE,"862a3330fffffff"
42.6609,-70.6238,"US",6,2013,TRUE,"862a30067ffffff"
36.191347,-75.793511,"US",10,2025,TRUE,"862af0767ffffff"
47.195984,-55.433189,"CA",10,2025,TRUE,"861ab50efffffff"
48.653963,-53.750933,"CA",9,2025,TRUE,"861aa441fffffff"
45.387322,-63.995645,"CA",8,2025,TRUE,"862b0140fffffff"
46.235529,-64.261438,"CA",4,2025,TRUE,"862b000f7ffffff"
47.828507,-53.167095,"CA",7,2025,TRUE,"861aa0547ffffff"
49.628853,-57.956478,"CA",7,2025,TRUE,"861b9e077ffffff"
48.018615,-64.532256,"CA",7,2025,TRUE,"862b316b7ffffff"
45.38743,-64.069358,"CA",7,2025,TRUE,"862b014e7ffffff"
41.766706,-70.232552,"US",6,2025,TRUE,"862a310afffffff"
42.596106,-70.864592,"US",4,2025,TRUE,"862a300c7ffffff"
47.237449,-53.973503,"CA",5,2025,TRUE,"861aa210fffffff"
47.617808,-52.870643,"CA",6,2025,TRUE,"861aa070fffffff"
47.624596,-59.273283,"CA",6,2025,TRUE,"862b257afffffff"
40.744294,-73.33479,"US",6,2025,TRUE,"862a10a17ffffff"
39.859718,-74.033443,"US",6,2025,TRUE,"862a13a17ffffff"
45.099083,-64.183934,"CA",5,2025,TRUE,"862b016b7ffffff"
45.869758,-64.545512,"CA",5,2025,TRUE,"862b00647ffffff"
41.326812,-71.799701,"US",5,2025,TRUE,"862a15937ffffff"
40.058661,-74.179895,"US",5,2025,TRUE,"862a138c7ffffff"
49.091011,-58.424122,"CA",4,2025,TRUE,"861b9e6b7ffffff"
45.093239,-64.171988,"CA",3,2025,TRUE,"862b016a7ffffff"
47.636139,-53.739395,"CA",7,2016,TRUE,"861aa2947ffffff"
47.746776,-53.167086,"CA",10,2018,TRUE,"861aa055fffffff"
49.75373,-57.917858,"CA",1,2025,TRUE,"861b9e16fffffff"
43.479397,-65.443895,"CA",11,2024,TRUE,"862b0a01fffffff"
40.15805,-74.014191,"US",11,2024,TRUE,"862a1380fffffff"
40.105666,-74.174621,"US",11,2024,TRUE,"862a138f7ffffff"
40.063883,-74.126399,"US",11,2024,TRUE,"862a138efffffff"
41.584106,-70.558448,"US",9,2024,TRUE,"862a31617ffffff"
47.617151,-52.691367,"CA",9,2024,TRUE,"861aa0767ffffff"
41.335339,-70.633262,"US",5,2019,TRUE,"862a06d67ffffff"
49.952299,-57.754714,"CA",9,2024,TRUE,"861b9eb17ffffff"
45.725474,-64.670108,"CA",8,2019,TRUE,"862b0398fffffff"
41.681713,-69.889993,"US",9,2024,TRUE,"862a31067ffffff"
49.116399,-58.411028,"CA",8,2024,TRUE,"861b9e6b7ffffff"
47.246692,-53.964938,"CA",8,2024,TRUE,"861aa212fffffff"
48.387553,-53.314906,"CA",9,2024,TRUE,"861aa468fffffff"
45.8779,-63.524887,"CA",8,2024,TRUE,"862b01da7ffffff"
47.267,-53.893,"CA",6,2021,TRUE,"861aa2177ffffff"
46.565114,-63.652249,"CA",7,2008,TRUE,"862b00817ffffff"
46.037133,-59.966827,"CA",6,2016,TRUE,"862b2c4afffffff"
49.935149,-57.770439,"CA",7,2024,TRUE,"861b9eba7ffffff"
41.499394,-70.75314,"US",7,2024,TRUE,"862a3169fffffff"
50.115478,-57.664255,"CA",6,2024,TRUE,"861b9c48fffffff"
45.944397,-61.142486,"CA",10,2020,TRUE,"862b2e0d7ffffff"
49.682645,-57.9644,"CA",6,2024,TRUE,"861b9e15fffffff"
40.983212,-72.282889,"US",6,2024,TRUE,"862a1511fffffff"
45.754831,-61.900723,"CA",5,2024,TRUE,"862b2ada7ffffff"
46.313003,-64.510575,"CA",5,2024,TRUE,"862b00467ffffff"
42.729098,-70.788955,"US",4,2024,TRUE,"862a30007ffffff"
41.734978,-70.368554,"US",4,2024,TRUE,"862a31737ffffff"
40.539192,-73.978872,"US",12,2023,TRUE,"862a1074fffffff"
41.69209,-70.037406,"US",11,2023,TRUE,"862a31057ffffff"
47.536308,-52.944856,"CA",11,2023,TRUE,"861aa071fffffff"
43.929691,-60.024008,"CA",11,2023,TRUE,"862b290d7ffffff"
43.409625,-66.017983,"CA",9,2023,TRUE,"862b0a797ffffff"
47.886787,-53.084439,"CA",7,2022,TRUE,"861aa0197ffffff"
44.577615,-64.043693,"CA",9,2023,TRUE,"862b0e8f7ffffff"
47.477036,-53.064489,"CA",9,2023,TRUE,"861aa078fffffff"
49.482401,-58.124998,"CA",7,2023,TRUE,"861b9e0f7ffffff"
48.643261,-53.120587,"CA",7,2023,TRUE,"861aa4777ffffff"
46.408725,-64.133443,"CA",7,2023,TRUE,"862b001afffffff"
45.959012,-62.754845,"CA",6,2023,TRUE,"862b05777ffffff"
40.140631,-74.051312,"US",6,2023,TRUE,"862a1380fffffff"
47.389938,-53.136623,"CA",5,2023,TRUE,"861aa06b7ffffff"
47.327626,-64.923559,"CA",5,2023,TRUE,"862b060a7ffffff"
47.593131,-52.884869,"CA",5,2023,TRUE,"861aa070fffffff"
41.607321,-69.947391,"US",4,2023,TRUE,"862a3104fffffff"
41.608599,-70.166847,"US",4,2023,TRUE,"862a310cfffffff"
40.797827,-73.221056,"US",4,2023,TRUE,"862a10a27ffffff"
46.405571,-63.195174,"CA",11,2021,TRUE,"862b054a7ffffff"
42.618564,-70.718874,"US",1,2023,TRUE,"862a30057ffffff"
47.43288,-53.158734,"CA",8,2018,TRUE,"861aa2b6fffffff"
47.542772,-52.920608,"CA",12,2022,TRUE,"861aa071fffffff"
45.109917,-64.228912,"CA",11,2022,TRUE,"862b016b7ffffff"
44.463848,-63.708098,"CA",10,2022,TRUE,"862b0c49fffffff"
47.412494,-64.899609,"CA",6,2016,TRUE,"862b0619fffffff"
46.068875,-63.88398,"CA",9,2022,TRUE,"862b00a9fffffff"
47.528796,-52.69732,"CA",10,2022,TRUE,"861aa075fffffff"
45.771747,-62.863213,"CA",8,2022,TRUE,"862b0566fffffff"
42.492202,-70.868247,"US",2,2021,TRUE,"862a30397ffffff"
49.443226,-53.931838,"CA",8,2022,TRUE,"861b8a697ffffff"
48.659661,-53.758736,"CA",7,2022,TRUE,"861aa441fffffff"
46.132064,-63.783008,"CA",7,2022,TRUE,"862b00a87ffffff"
42.039288,-70.054415,"US",5,2022,TRUE,"862a31c47ffffff"
43.8496,-69.5272,"US",10,2001,TRUE,"862a3480fffffff"
43.829435,-69.30852,"US",10,2007,TRUE,"862a3494fffffff"
43.54891,-70.29,"US",10,2008,TRUE,"862a34727ffffff"
44.72085,-67.091051,"US",5,2001,TRUE,"862b1880fffffff"
44.515785,-67.403835,"US",11,2011,TRUE,"862b1815fffffff"
43.02565,-70.56095,"US",10,2000,TRUE,"862a308b7ffffff"
43.651465,-70.094195,"US",10,2007,TRUE,"862a340afffffff"
44.612135,-67.35941,"US",11,2017,TRUE,"862b18177ffffff"
43.706365,-69.74616,"US",10,2012,TRUE,"862a34177ffffff"
44.46715,-67.79771,"US",11,2002,TRUE,"862b1808fffffff"
44.36985,-68.017099,"US",11,2000,TRUE,"862b1871fffffff"
44.430715,-67.537861,"US",6,2008,TRUE,"862b18057ffffff"
42.925075,-70.75897,"US",10,2017,TRUE,"862a30c4fffffff"
44.543605,-67.495305,"US",11,2002,TRUE,"862b1802fffffff"
44.4947,-67.498371,"US",11,2017,TRUE,"862b1802fffffff"
43.832,-69.4868,"US",10,2002,TRUE,"862a3480fffffff"
44.169655,-69.0166,"US",10,2011,TRUE,"862b1a22fffffff"
42.942595,-70.74235,"US",10,2009,TRUE,"862a30c4fffffff"
44.52079,-67.419636,"US",10,2016,TRUE,"862b1815fffffff"
43.69531,-69.868915,"US",10,2009,TRUE,"862a34157ffffff"
44.183445,-68.76495,"US",10,2008,TRUE,"862b1a367ffffff"
44.477525,-67.83655,"US",10,2008,TRUE,"862b18727ffffff"
44.6439,-67.161065,"US",6,2018,TRUE,"862b188efffffff"
43.1835,-70.58345,"US",10,2018,TRUE,"862a30d67ffffff"
44.48916,-67.496911,"US",11,2018,TRUE,"862b18077ffffff"
43.22894,-70.57121,"US",10,2010,TRUE,"862a346c7ffffff"
44.671325,-67.10225,"US",6,2006,TRUE,"862b18857ffffff"
43.07625,-70.489559,"US",5,2011,TRUE,"862a3099fffffff"
44.586865,-67.29576,"US",11,2007,TRUE,"862b18167ffffff"
44.73781,-67.017026,"US",6,2009,TRUE,"862b18877ffffff"
43.61041,-70.20367,"US",5,2017,TRUE,"862a3408fffffff"
40.824756,-72.490476,"US",5,2022,TRUE,"862a1508fffffff"
45.874875,-63.737433,"CA",5,2022,TRUE,"862b00367ffffff"
46.395615,-64.59782,"CA",9,2015,TRUE,"862b0042fffffff"
49.698158,-54.060857,"CA",4,2022,TRUE,"861b8a4e7ffffff"
46.22699,-64.296394,"CA",4,2022,TRUE,"862b0008fffffff"
46.527188,-64.681587,"CA",9,2021,TRUE,"862b00437ffffff"
45.120883,-66.766104,"CA",7,2021,TRUE,"862b1c39fffffff"
46.432975,-62.847007,"CA",11,2021,TRUE,"862b0552fffffff"
42.722366,-70.731292,"US",5,2021,TRUE,"862a3002fffffff"
45.405656,-64.325888,"CA",7,2011,TRUE,"862b0149fffffff"
46.561012,-63.704658,"CA",8,2021,TRUE,"862b008a7ffffff"
46.178443,-59.927805,"CA",7,2021,TRUE,"862b2c58fffffff"
47.680693,-64.745987,"CA",7,2021,TRUE,"862b06c2fffffff"
47.496726,-53.018668,"CA",7,2021,TRUE,"861aa078fffffff"
47.655099,-64.772603,"CA",7,2021,TRUE,"862b06c0fffffff"
46.15352,-63.8476,"CA",8,2020,TRUE,"862b00a97ffffff"
46.936805,-60.461863,"CA",6,2021,TRUE,"862b214efffffff"
42.608307,-70.732322,"US",4,2021,TRUE,"862a30057ffffff"
44.992,-65.289667,"CA",7,2007,TRUE,"862b03297ffffff"
45.218833,-65.790167,"CA",7,2003,TRUE,"862b036b7ffffff"
45.238,-65.6505,"CA",7,2006,TRUE,"862b0378fffffff"
45.2955,-64.896,"CA",7,2013,TRUE,"862b03067ffffff"
44.984167,-66.742667,"CA",7,2012,TRUE,"862b1c2f7ffffff"
45.277833,-64.937167,"CA",7,2007,TRUE,"862b03067ffffff"
44.467833,-66.1875,"CA",7,2019,TRUE,"862b1d087ffffff"
44.6395,-65.969167,"CA",7,2002,TRUE,"862b1d117ffffff"
44.676333,-65.897667,"CA",7,2005,TRUE,"862b1d137ffffff"
45.103667,-66.189167,"CA",7,2012,TRUE,"862b1ddb7ffffff"
44.208833,-66.342,"CA",7,2015,TRUE,"862b1d75fffffff"
45.060667,-66.387,"CA",7,2015,TRUE,"862b1c347ffffff"
44.567333,-66.078,"CA",7,2013,TRUE,"862b1d18fffffff"
45.234833,-64.9495,"CA",7,2006,TRUE,"862b03047ffffff"
44.730667,-66.8915,"CA",7,2010,TRUE,"862b1894fffffff"
45.296333,-64.886667,"CA",7,2006,TRUE,"862b03067ffffff"
44.630167,-65.988833,"CA",7,1997,TRUE,"862b1d1a7ffffff"
44.935167,-65.409667,"CA",3,2019,TRUE,"862b1d937ffffff"
42.627751,-70.783656,"US",1,2021,TRUE,"862a30057ffffff"
42.687331,-70.680918,"US",3,2021,TRUE,"862a3015fffffff"
42.70146,-70.727838,"US",1,2021,TRUE,"862a3002fffffff"
47.070693,-54.093333,"CA",8,2019,TRUE,"861aa2017ffffff"
46.587675,-64.122783,"CA",9,2020,TRUE,"862b00c57ffffff"
46.226692,-64.34382,"CA",8,2020,TRUE,"862b0008fffffff"
46.149345,-63.30352,"CA",7,2020,TRUE,"862b00b77ffffff"
41.386518,-70.773703,"US",4,2020,TRUE,"862a06d2fffffff"
48.525164,-59.244964,"CA",7,2008,TRUE,"862b24317ffffff"
39.446065,-74.313559,"US",6,2020,TRUE,"862a13257ffffff"
45.659245,-61.819258,"CA",6,2020,TRUE,"862b2ad1fffffff"
45.997682,-62.889722,"CA",6,2020,TRUE,"862b0570fffffff"
39.4335,-74.27732,"US",3,2003,TRUE,"862a13247ffffff"
40.59955,-73.39842,"US",9,2008,TRUE,"862a10adfffffff"
40.26768,-73.93619,"US",9,2008,TRUE,"862a1390fffffff"
37.83333,-75.43333,"US",3,1994,TRUE,"862aa9adfffffff"
42.11667,-70.16667,"US",10,1995,TRUE,"862a31c0fffffff"
40.89534,-72.20998,"US",3,2008,TRUE,"862a15157ffffff"
40.60267,-73.23283,"US",3,2002,TRUE,"862a10a57ffffff"
39.13467,-74.65833,"US",3,2004,TRUE,"862aad85fffffff"
39.07407,-74.68102,"US",3,2008,TRUE,"862aadba7ffffff"
38.86208,-75.0803,"US",3,2006,TRUE,"862aad05fffffff"
36.42706,-75.80831,"US",3,2007,TRUE,"862af00a7ffffff"
38.1368,-75.13375,"US",3,2008,TRUE,"862aa9b2fffffff"
40.89621,-72.24098,"US",3,2008,TRUE,"862a1502fffffff"
40.98505,-71.9317,"US",4,2008,TRUE,"862a158efffffff"
40.55703,-73.77437,"US",3,2006,TRUE,"862a1038fffffff"
42.85101,-70.76535,"US",4,2001,TRUE,"862a30117ffffff"
40.6925,-72.944,"US",3,2000,TRUE,"862a156b7ffffff"
40.68333,-72.91667,"US",3,1997,TRUE,"862a156b7ffffff"
40.85,-72.31667,"US",3,1997,TRUE,"862a1500fffffff"
38.74017,-75.0695,"US",3,2004,TRUE,"862aad3afffffff"
42.00177,-69.99617,"US",4,2003,TRUE,"862a31137ffffff"
40.59807,-73.29554,"US",3,2001,TRUE,"862a10aefffffff"
42.10072,-70.24713,"US",4,2005,TRUE,"862a31ce7ffffff"
38.93083,-74.816,"US",3,2004,TRUE,"862aada87ffffff"
39.88617,-74.06683,"US",3,2004,TRUE,"862a13b8fffffff"
35.33983,-75.4755,"US",3,2000,TRUE,"862af16b7ffffff"
39.83333,-74.06667,"US",3,1998,TRUE,"862a13a17ffffff"
40.60483,-73.16369,"US",3,2001,TRUE,"862a10a47ffffff"
36.50483,-75.836,"US",3,2000,TRUE,"862af0197ffffff"
35.48333,-75.43333,"US",3,1993,TRUE,"862af17b7ffffff"
41.3,-70.7,"US",4,1994,TRUE,"862a06d47ffffff"
42.02298,-70.02096,"US",10,2007,TRUE,"862a31c4fffffff"
38.28333,-75.08333,"US",3,1993,TRUE,"862a1a487ffffff"
40.68033,-72.94933,"US",3,1999,TRUE,"862a156b7ffffff"
39.05,-74.73333,"US",3,1998,TRUE,"862aadb87ffffff"
37.66667,-75.55,"US",3,1997,TRUE,"862aa9277ffffff"
36,-75.61667,"US",3,1996,TRUE,"862af02afffffff"
36.13333,-75.68333,"US",3,1993,TRUE,"862af0397ffffff"
36.35,-75.78333,"US",3,1998,TRUE,"862af00afffffff"
41.43333,-71.28333,"US",3,1995,TRUE,"862a33347ffffff"
35.6395,-75.43883,"US",3,2004,TRUE,"862af141fffffff"
40.56367,-73.73383,"US",3,2004,TRUE,"862a1038fffffff"
40.64033,-73.05983,"US",3,2004,TRUE,"862a10a67ffffff"
39.87917,-74.045,"US",3,2000,TRUE,"862a13b8fffffff"
39.063,-74.71067,"US",3,1999,TRUE,"862aadba7ffffff"
42.10917,-70.21933,"US",10,2003,TRUE,"862a31ce7ffffff"
39.53333,-74.23333,"US",3,1995,TRUE,"862a1335fffffff"
36.26817,-75.771,"US",3,2000,TRUE,"862af00d7ffffff"
40.79936,-72.58815,"US",9,2006,TRUE,"862a15727ffffff"
41.02467,-71.86633,"US",9,2002,TRUE,"862a15857ffffff"
40.80688,-72.5164,"US",9,2005,TRUE,"862a1508fffffff"
39.2915,-74.4979,"US",9,2001,TRUE,"862aad96fffffff"
42.3,-70.81667,"US",4,1993,TRUE,"862a302afffffff"
40.76667,-72.6,"US",10,1998,TRUE,"862a15707ffffff"
40.78333,-72.65,"US",10,1998,TRUE,"862a15737ffffff"
39.8283,-74.07116,"US",9,2001,TRUE,"862a13aafffffff"
42.06133,-70.2645,"US",10,2002,TRUE,"862a31cc7ffffff"
41.75,-69.88333,"US",9,1995,TRUE,"862a3114fffffff"
41.95,-70.5,"US",10,1995,TRUE,"862a31557ffffff"
40.9715,-72.03967,"US",9,2000,TRUE,"862a158dfffffff"
41.94933,-69.94833,"US",11,1999,TRUE,"862a31107ffffff"
43.91667,-68.76667,"US",8,1995,TRUE,"862b1b527ffffff"
